day eternity:600 replacement_initial_a:0.2 replacement_final_a:0 number_of_contact_events_per_day_a:40 pre_active_state_duration_1:4 pre_active_state_duration_2:2 active_state_duration_1:2 active_state_duration_2:2 transmission_probability_1_a:0.125 transmission_probability_2_a:0.1 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.18 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
1;0;1;0;0;0;0;0;0;0;0;
2;0;1;0;0;0;0;0;0;0;0;
3;0.000163827;0.999836;3.2768e-05;0.000163827;0;0;0;0.000163827;0.000163827;0;
4;0.000294831;0.999574;5.89824e-05;0.000294831;0;0;0;0.000294831;0.000294831;0;
5;0.000294769;0.999365;5.89824e-05;0.000294769;0;0;0;0.000294831;0.000294831;0;
6;0.000130997;0.999361;2.62144e-05;0.000130997;0;0;0;0.000294831;0.000294831;0;
7;0;0.999488;0;0;0;0;0;0.000294831;0.000294831;0;
8;0.000268269;0.999323;5.36828e-05;0.000268269;0;0;0;0.000294831;0.000294831;0;
9;0.000697167;0.998761;0.000139556;0.000697167;0;0;0;0.000697167;0.000697167;0;
10;0.000868161;0.998141;0.000173878;0.000868161;0;0;0;0.000868161;0.000868161;0;
11;0.000599915;0.997913;0.000120197;0.000599915;0;0;0;0.000868161;0.000868161;0;
12;0.000171399;0.998159;3.43401e-05;0.000171399;0;0;0;0.000868161;0.000868161;0;
13;0.000438791;0.998088;8.79064e-05;0.000438791;0;0;0;0.000868161;0.000868161;0;
14;0.00149049;0.99698;0.000298773;0.00149049;0;0;0;0.00149049;0.00149049;0;
15;0.00232789;0.995256;0.000467237;0.00232789;0;0;0;0.00232789;0.00232789;0;
16;0.00211059;0.994094;0.000424163;0.00211059;0;0;0;0.00232789;0.00232789;0;
17;0.00106155;0.994214;0.000213428;0.00106155;0;0;0;0.00232789;0.00232789;0;
18;0.000938771;0.994432;0.000188714;0.000938771;0;0;0;0.00232789;0.00232789;0;
19;0.0029993;0.992547;0.000603431;0.0029993;0;0;0;0.0029993;0.0029993;0;
20;0.00571715;0.98832;0.00115353;0.00571715;0;0;0;0.00571715;0.00571715;0;
21;0.00642795;0.984228;0.00130184;0.00642795;0;0;0;0.00642795;0.00642795;0;
22;0.00443902;0.982943;0.000901125;0.00443902;0;0;0;0.00642795;0.00642795;0;
23;0.00288538;0.983469;0.000585895;0.00288538;0;0;0;0.00642795;0.00642795;0;
24;0.00604514;0.98073;0.0012289;0.00604514;0;0;0;0.00642795;0.00642795;0;
