day eternity:1200 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.18 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.18 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
1;6.193e-05;0.999938;8.84736e-05;6.193e-05;0;0;0;6.193e-05;6.193e-05;0;
2;0.000121373;0.999819;0.000173408;0.000121373;0;0;0;0.000121373;0.000121373;0;
3;0.000178418;0.999648;0.000254946;0.000178418;0;0;0;0.000178418;0.000178418;0;
4;0.000154823;0.999507;0.000221264;0.000154823;0;0;0;0.000178418;0.000178418;0;
5;0.000168973;0.999358;0.00024152;0.000168973;0;0;0;0.000178418;0.000178418;0;
6;0.000217852;0.999166;0.000311436;0.000217852;0;0;0;0.000217852;0.000217852;0;
7;0.000270989;0.998928;0.00038748;0.000270989;0;0;0;0.000270989;0.000270989;0;
8;0.000298187;0.998673;0.000426472;0.000298187;0;0;0;0.000298187;0.000298187;0;
9;0.000323293;0.998403;0.000462496;0.000323293;0;0;0;0.000323293;0.000323293;0;
10;0.000393127;0.998073;0.000562562;0.000393127;0;0;0;0.000393127;0.000393127;0;
11;0.00046917;0.997681;0.000671612;0.00046917;0;0;0;0.00046917;0.00046917;0;
12;0.000530878;0.997243;0.000760251;0.000530878;0;0;0;0.000530878;0.000530878;0;
13;0.000604125;0.996749;0.000865535;0.000604125;0;0;0;0.000604125;0.000604125;0;
14;0.000706406;0.996173;0.0010126;0.000706406;0;0;0;0.000706406;0.000706406;0;
15;0.000828771;0.995497;0.00118872;0.000828771;0;0;0;0.000828771;0.000828771;0;
16;0.000953053;0.994724;0.00136794;0.000953053;0;0;0;0.000953053;0.000953053;0;
17;0.00109362;0.993842;0.00157096;0.00109362;0;0;0;0.00109362;0.00109362;0;
18;0.00126986;0.992818;0.00182581;0.00126986;0;0;0;0.00126986;0.00126986;0;
19;0.00147505;0.99163;0.0021231;0.00147505;0;0;0;0.00147505;0.00147505;0;
20;0.00170199;0.990263;0.00245279;0.00170199;0;0;0;0.00170199;0.00170199;0;
21;0.00196055;0.988692;0.00282945;0.00196055;0;0;0;0.00196055;0.00196055;0;
22;0.00226573;0.986879;0.00327529;0.00226573;0;0;0;0.00226573;0.00226573;0;
23;0.0026196;0.984784;0.00379405;0.0026196;0;0;0;0.0026196;0.0026196;0;
24;0.00301948;0.982373;0.00438286;0.00301948;0;0;0;0.00301948;0.00301948;0;
25;0.00347543;0.979603;0.00505752;0.00347543;0;0;0;0.00347543;0.00347543;0;
26;0.00400183;0.976417;0.00584062;0.00400183;0;0;0;0.00400183;0.00400183;0;
27;0.00460508;0.972755;0.00674381;0.00460508;0;0;0;0.00460508;0.00460508;0;
28;0.00528888;0.968556;0.00777537;0.00528888;0;0;0;0.00528888;0.00528888;0;
29;0.00606365;0.96375;0.00895441;0.00606365;0;0;0;0.00606365;0.00606365;0;
30;0.00694375;0.958256;0.010307;0.00694375;0;0;0;0.00694375;0.00694375;0;
31;0.00793858;0.951988;0.0118536;0.00793858;0;0;0;0.00793858;0.00793858;0;
32;0.00905443;0.944854;0.0136117;0.00905443;0;0;0;0.00905443;0.00905443;0;
33;0.0103007;0.936759;0.0156059;0.0103007;0;0;0;0.0103007;0.0103007;0;
34;0.0116879;0.9276;0.0178653;0.0116879;0;0;0;0.0116879;0.0116879;0;
35;0.0132216;0.917275;0.0204151;0.0132216;0;0;0;0.0132216;0.0132216;0;
36;0.0149022;0.905682;0.0232767;0.0149022;0;0;0;0.0149022;0.0149022;0;
37;0.0167283;0.892726;0.0264723;0.0167283;0;0;0;0.0167283;0.0167283;0;
38;0.0186943;0.878323;0.0300236;0.0186943;0;0;0;0.0186943;0.0186943;0;
39;0.0207869;0.862403;0.0339442;0.0207869;0;0;0;0.0207869;0.0207869;0;
40;0.0229834;0.844923;0.0382378;0.0229834;0;0;0;0.0229834;0.0229834;0;
41;0.0252533;0.825873;0.0428986;0.0252533;0;0;0;0.0252533;0.0252533;0;
